,run_number,round_number,turn_number,_action_name
0,0,0,0,starts_conversation
1,0,0,1,stands_in_corner
2,0,0,2,leaves_room
3,0,0,3,stands_in_corner
4,0,0,4,stands_in_corner
5,0,0,5,leaves_room
6,0,0,6,stands_in_corner
7,0,0,7,stands_in_corner
8,0,0,8,starts_conversation
9,0,0,9,shares
10,0,0,10,leaves_conversation
11,0,0,11,leaves_room
12,0,0,12,starts_conversation
13,0,0,13,starts_conversation
14,0,0,14,stands_in_corner
15,0,0,15,leaves_room
16,0,0,16,starts_conversation
17,0,0,17,leaves_room
18,0,0,18,leaves_room
19,0,0,19,starts_conversation
20,0,0,20,stands_in_corner
21,0,0,21,leaves_conversation
22,0,0,22,leaves_room
23,0,0,23,starts_conversation
24,0,0,24,starts_conversation
25,0,0,25,stands_in_corner
26,0,0,26,starts_conversation
27,0,0,27,stands_in_corner
28,0,0,28,changes_the_topic
29,0,0,29,leaves_room
30,0,0,30,makes_deeptalk
31,0,0,31,starts_conversation
32,0,1,32,leaves_room
33,0,1,33,leaves_room
34,0,1,34,starts_conversation
35,0,1,35,leaves_room
36,0,1,36,shows_interest
37,0,1,37,supports
38,0,1,38,stands_in_corner
39,0,1,39,starts_conversation
40,0,1,40,laughs
41,0,1,41,leaves_conversation
42,0,1,42,stands_in_corner
43,0,1,43,shows_concern
44,0,1,44,changes_the_topic
45,0,1,45,yawns
46,0,1,46,makes_smalltalk
47,0,1,47,changes_the_topic
48,0,1,48,leaves_room
49,0,1,49,stands_in_corner
50,0,1,50,leaves_room
51,0,1,51,laughs
52,0,1,52,stands_in_corner
53,0,1,53,leaves_room
54,0,1,54,shows_interest
55,0,1,55,jokes
56,0,1,56,shows_concern
57,0,1,57,stands_in_corner
58,0,1,58,yawns
59,0,1,59,stands_in_corner
60,0,1,60,leaves_conversation
61,0,1,61,leaves_room
62,0,1,62,makes_deeptalk
63,0,1,63,yawns
64,0,2,64,stands_in_corner
65,0,2,65,gives_controversial_opinion
66,0,2,66,brags
67,0,2,67,starts_conversation
68,0,2,68,brags
69,0,2,69,gives_controversial_opinion
70,0,2,70,leaves_room
71,0,2,71,gives_controversial_opinion
72,0,2,72,stands_in_corner
73,0,2,73,stands_in_corner
74,0,2,74,leaves_room
75,0,2,75,laughs
76,0,2,76,leaves_room
77,0,2,77,shows_interest
78,0,2,78,laughs
79,0,2,79,rants
80,0,2,80,starts_conversation
81,0,2,81,starts_conversation
82,0,2,82,leaves_room
83,0,2,83,rants
84,0,2,84,leaves_room
85,0,2,85,yawns
86,0,2,86,gives_an_insult
87,0,2,87,makes_smalltalk
88,0,2,88,makes_deeptalk
89,0,2,89,leaves_room
90,0,2,90,makes_deeptalk
91,0,2,91,starts_conversation
92,0,2,92,leaves_room
93,0,2,93,starts_conversation
94,0,2,94,changes_the_topic
95,0,2,95,laughs
96,0,3,96,starts_conversation
97,0,3,97,shows_interest
98,0,3,98,supports
99,0,3,99,shows_concern
100,0,3,100,shares
101,0,3,101,jokes
102,0,3,102,shares
103,0,3,103,shows_interest
104,0,3,104,shouts
105,0,3,105,brags
106,0,3,106,stands_in_corner
107,0,3,107,supports
108,0,3,108,shares
109,0,3,109,rants
110,0,3,110,makes_deeptalk
111,0,3,111,makes_smalltalk
112,0,3,112,brags
113,0,3,113,leaves_conversation
114,0,3,114,shows_concern
115,0,3,115,gives_an_insult
116,0,3,116,stands_in_corner
117,0,3,117,yawns
118,0,3,118,shows_interest
119,0,3,119,supports
120,0,3,120,rants
121,0,3,121,leaves_room
122,0,3,122,leaves_conversation
123,0,3,123,shouts
124,0,3,124,leaves_room
125,0,3,125,shows_interest
126,0,3,126,changes_the_topic
127,0,3,127,yawns
128,0,4,128,yawns
129,0,4,129,supports
130,0,4,130,makes_smalltalk
131,0,4,131,shows_concern
132,0,4,132,gives_an_insult
133,0,4,133,gives_controversial_opinion
134,0,4,134,gives_an_insult
135,0,4,135,yawns
136,0,4,136,shows_interest
137,0,4,137,leaves_room
138,0,4,138,stands_in_corner
139,0,4,139,changes_the_topic
140,0,4,140,supports
141,0,4,141,shouts
142,0,4,142,shares
143,0,4,143,shares
144,0,4,144,leaves_conversation
145,0,4,145,stands_in_corner
146,0,4,146,makes_smalltalk
147,0,4,147,jokes
148,0,4,148,stands_in_corner
149,0,4,149,rants
150,0,4,150,stands_in_corner
151,0,4,151,leaves_conversation
152,0,4,152,gives_controversial_opinion
153,0,4,153,leaves_room
154,0,4,154,stands_in_corner
155,0,4,155,rants
156,0,4,156,starts_conversation
157,0,4,157,jokes
158,0,4,158,yawns
159,0,4,159,makes_smalltalk
160,0,5,160,yawns
161,0,5,161,makes_smalltalk
162,0,5,162,brags
163,0,5,163,shows_concern
164,0,5,164,starts_conversation
165,0,5,165,jokes
166,0,5,166,supports
167,0,5,167,rants
168,0,5,168,makes_smalltalk
169,0,5,169,stands_in_corner
170,0,5,170,stands_in_corner
171,0,5,171,changes_the_topic
172,0,5,172,stands_in_corner
173,0,5,173,brags
174,0,5,174,shows_interest
175,0,5,175,rants
176,0,5,176,leaves_room
177,0,5,177,jokes
178,0,5,178,laughs
179,0,5,179,gives_an_insult
180,0,5,180,starts_conversation
181,0,5,181,gives_controversial_opinion
182,0,5,182,leaves_room
183,0,5,183,leaves_room
184,0,5,184,gives_controversial_opinion
185,0,5,185,leaves_room
186,0,5,186,changes_the_topic
187,0,5,187,shouts
188,0,5,188,laughs
189,0,5,189,makes_smalltalk
190,0,5,190,shows_concern
191,0,5,191,supports
192,0,6,192,yawns
193,0,6,193,supports
194,0,6,194,shows_concern
195,0,6,195,shows_concern
196,0,6,196,gives_controversial_opinion
197,0,6,197,shouts
198,0,6,198,supports
199,0,6,199,shares
200,0,6,200,rants
201,0,6,201,starts_conversation
202,0,6,202,stands_in_corner
203,0,6,203,gives_controversial_opinion
204,0,6,204,starts_conversation
205,0,6,205,brags
206,0,6,206,shows_concern
207,0,6,207,gives_an_insult
208,0,6,208,makes_smalltalk
209,0,6,209,gives_an_insult
210,0,6,210,shows_interest
211,0,6,211,shows_interest
212,0,6,212,makes_deeptalk
213,0,6,213,jokes
214,0,6,214,leaves_conversation
215,0,6,215,rants
216,0,6,216,laughs
217,0,6,217,leaves_room
218,0,6,218,supports
219,0,6,219,makes_smalltalk
220,0,6,220,shows_concern
221,0,6,221,makes_deeptalk
222,0,6,222,shouts
223,0,6,223,gives_an_insult
224,0,7,224,yawns
225,0,7,225,rants
226,0,7,226,supports
227,0,7,227,yawns
228,0,7,228,supports
229,0,7,229,shares
230,0,7,230,laughs
231,0,7,231,yawns
232,0,7,232,supports
233,0,7,233,gives_controversial_opinion
234,0,7,234,leaves_room
235,0,7,235,laughs
236,0,7,236,leaves_room
237,0,7,237,shows_interest
238,0,7,238,laughs
239,0,7,239,makes_smalltalk
240,0,7,240,gives_an_insult
241,0,7,241,shouts
242,0,7,242,shows_interest
243,0,7,243,shares
244,0,7,244,changes_the_topic
245,0,7,245,yawns
246,0,7,246,stands_in_corner
247,0,7,247,gives_an_insult
248,0,7,248,gives_an_insult
249,0,7,249,leaves_room
250,0,7,250,jokes
251,0,7,251,supports
252,0,7,252,shows_concern
253,0,7,253,laughs
254,0,7,254,makes_smalltalk
255,0,7,255,shows_interest
256,0,8,256,makes_deeptalk
257,0,8,257,changes_the_topic
258,0,8,258,shows_interest
259,0,8,259,shows_concern
260,0,8,260,rants
261,0,8,261,brags
262,0,8,262,laughs
263,0,8,263,makes_smalltalk
264,0,8,264,rants
265,0,8,265,gives_an_insult
266,0,8,266,stands_in_corner
267,0,8,267,makes_smalltalk
268,0,8,268,leaves_room
269,0,8,269,jokes
270,0,8,270,yawns
271,0,8,271,gives_controversial_opinion
272,0,8,272,makes_deeptalk
273,0,8,273,shows_concern
274,0,8,274,shouts
275,0,8,275,laughs
276,0,8,276,shares
277,0,8,277,shows_interest
278,0,8,278,stands_in_corner
279,0,8,279,shares
280,0,8,280,laughs
281,0,8,281,leaves_room
282,0,8,282,leaves_conversation
283,0,8,283,shows_interest
284,0,8,284,stands_in_corner
285,0,8,285,yawns
286,0,8,286,makes_smalltalk
287,0,8,287,leaves_conversation
288,0,9,288,shares
289,0,9,289,laughs
290,0,9,290,jokes
