,turn_number,round_number,name,personality_vector,emotional_state,base_action_probs,location_state,conversation_partner
0,5,0,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.00964618 -0.93122296  0.8186408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes
1,6,0,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.68801096 -0.88383278  0.73235229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy
2,7,1,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.92334405 0.6910677  0.49364022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin
3,11,1,Agnes,[ 0.32504457 -0.37657785  0.04013604  0.09342056 -0.63029109],[0.95416926 0.60026565 0.92899788],"{shouts: 0.06293877301379446, shares: 0.055931751930627216, leaves_conversation: 0.03169354582602385, makes_smalltalk: 0.040178558389498284, makes_deeptalk: 0.0520078727840738, gives_controversial_opinion: 0.04099435654875522, changes_the_topic: 0.04888935203588551, shows_interest: 0.05351037244433987, shows_concern: 0.037365122936388426, laughs: 0.11487745372218866, jokes: 0.049468599742640895, gives_an_insult: 0.03562276817560996, brags: 0.06293877301379446, yawns: 0.08914720827855069, supports: 0.046691558640058105, rants: 0.043417833438641674, stands_in_corner: 0.03169354582602385, leaves_room: 0.053163953510464226, starts_conversation: 0.049468599742640895}",Kitchen,Phyllis
4,12,1,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.01464618 -0.87922296  0.8136408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes
5,13,1,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.67701096 -0.83183278  0.74335229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy
6,14,2,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.91834405 0.6420677  0.47364022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin
7,18,2,Agnes,[ 0.32504457 -0.37657785  0.04013604  0.09342056 -0.63029109],[0.95416926 0.60726565 0.92799788],"{shouts: 0.06293877301379446, shares: 0.055931751930627216, leaves_conversation: 0.03169354582602385, makes_smalltalk: 0.040178558389498284, makes_deeptalk: 0.0520078727840738, gives_controversial_opinion: 0.04099435654875522, changes_the_topic: 0.04888935203588551, shows_interest: 0.05351037244433987, shows_concern: 0.037365122936388426, laughs: 0.11487745372218866, jokes: 0.049468599742640895, gives_an_insult: 0.03562276817560996, brags: 0.06293877301379446, yawns: 0.08914720827855069, supports: 0.046691558640058105, rants: 0.043417833438641674, stands_in_corner: 0.03169354582602385, leaves_room: 0.053163953510464226, starts_conversation: 0.049468599742640895}",Kitchen,Phyllis
8,19,2,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.00764618 -0.83222296  0.8231408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes
9,20,2,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.67201096 -0.83083278  0.74415229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy
10,21,3,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.93234405 0.6720677  0.50374022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin
11,25,3,Agnes,[ 0.32504457 -0.37657785  0.04013604  0.09342056 -0.63029109],[0.95916926 0.60726565 0.95799788],"{shouts: 0.06293877301379446, shares: 0.055931751930627216, leaves_conversation: 0.03169354582602385, makes_smalltalk: 0.040178558389498284, makes_deeptalk: 0.0520078727840738, gives_controversial_opinion: 0.04099435654875522, changes_the_topic: 0.04888935203588551, shows_interest: 0.05351037244433987, shows_concern: 0.037365122936388426, laughs: 0.11487745372218866, jokes: 0.049468599742640895, gives_an_insult: 0.03562276817560996, brags: 0.06293877301379446, yawns: 0.08914720827855069, supports: 0.046691558640058105, rants: 0.043417833438641674, stands_in_corner: 0.03169354582602385, leaves_room: 0.053163953510464226, starts_conversation: 0.049468599742640895}",Kitchen,Phyllis
12,26,3,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.01564618 -0.78122296  0.8132408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes
13,27,3,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.67201096 -0.77083278  0.80415229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy
14,28,4,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.92734405 0.7040677  0.53474022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin
15,32,4,Agnes,[ 0.32504457 -0.37657785  0.04013604  0.09342056 -0.63029109],[0.96616926 0.61026565 0.96289788],"{shouts: 0.06293877301379446, shares: 0.055931751930627216, leaves_conversation: 0.03169354582602385, makes_smalltalk: 0.040178558389498284, makes_deeptalk: 0.0520078727840738, gives_controversial_opinion: 0.04099435654875522, changes_the_topic: 0.04888935203588551, shows_interest: 0.05351037244433987, shows_concern: 0.037365122936388426, laughs: 0.11487745372218866, jokes: 0.049468599742640895, gives_an_insult: 0.03562276817560996, brags: 0.06293877301379446, yawns: 0.08914720827855069, supports: 0.046691558640058105, rants: 0.043417833438641674, stands_in_corner: 0.03169354582602385, leaves_room: 0.053163953510464226, starts_conversation: 0.049468599742640895}",Kitchen,Phyllis
16,33,4,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.00564618 -0.72622296  0.8612408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes
