,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,_action_name
0,-1.0,-1.0,-1.0,-1.0,-1.0,starts_conversation
1,-1.0,-1.0,-1.0,-1.0,1.0,stands_in_corner
2,-1.0,-1.0,-1.0,1.0,-1.0,leaves_room
3,-1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
4,-1.0,-1.0,1.0,-1.0,-1.0,makes_deeptalk
5,-1.0,-1.0,1.0,-1.0,1.0,starts_conversation
6,-1.0,-1.0,1.0,1.0,-1.0,leaves_room
7,-1.0,-1.0,1.0,1.0,1.0,leaves_room
8,-1.0,1.0,-1.0,-1.0,-1.0,leaves_room
9,-1.0,1.0,-1.0,-1.0,1.0,starts_conversation
10,-1.0,1.0,-1.0,1.0,-1.0,leaves_room
11,-1.0,1.0,-1.0,1.0,1.0,starts_conversation
12,-1.0,1.0,1.0,-1.0,-1.0,leaves_room
13,-1.0,1.0,1.0,-1.0,1.0,stands_in_corner
14,-1.0,1.0,1.0,1.0,-1.0,leaves_room
15,-1.0,1.0,1.0,1.0,1.0,stands_in_corner
16,1.0,-1.0,-1.0,-1.0,-1.0,leaves_room
17,1.0,-1.0,-1.0,-1.0,1.0,leaves_room
18,1.0,-1.0,-1.0,1.0,-1.0,starts_conversation
19,1.0,-1.0,-1.0,1.0,1.0,leaves_room
20,1.0,-1.0,1.0,-1.0,-1.0,leaves_room
21,1.0,-1.0,1.0,-1.0,1.0,stands_in_corner
22,1.0,-1.0,1.0,1.0,-1.0,starts_conversation
23,1.0,-1.0,1.0,1.0,1.0,gives_an_insult
24,1.0,1.0,-1.0,-1.0,-1.0,starts_conversation
25,1.0,1.0,-1.0,-1.0,1.0,stands_in_corner
26,1.0,1.0,-1.0,1.0,-1.0,changes_the_topic
27,1.0,1.0,-1.0,1.0,1.0,starts_conversation
28,1.0,1.0,1.0,-1.0,-1.0,stands_in_corner
29,1.0,1.0,1.0,-1.0,1.0,stands_in_corner
30,1.0,1.0,1.0,1.0,-1.0,starts_conversation
31,1.0,1.0,1.0,1.0,1.0,leaves_room
32,-1.0,-1.0,-1.0,-1.0,-1.0,shouts
33,-1.0,-1.0,-1.0,-1.0,1.0,laughs
34,-1.0,-1.0,-1.0,1.0,-1.0,leaves_room
35,-1.0,-1.0,-1.0,1.0,1.0,shows_interest
36,-1.0,-1.0,1.0,-1.0,-1.0,shouts
37,-1.0,-1.0,1.0,-1.0,1.0,changes_the_topic
38,-1.0,-1.0,1.0,1.0,-1.0,starts_conversation
39,-1.0,-1.0,1.0,1.0,1.0,stands_in_corner
40,-1.0,1.0,-1.0,-1.0,-1.0,stands_in_corner
41,-1.0,1.0,-1.0,-1.0,1.0,rants
42,-1.0,1.0,-1.0,1.0,-1.0,brags
43,-1.0,1.0,-1.0,1.0,1.0,gives_an_insult
44,-1.0,1.0,1.0,-1.0,-1.0,starts_conversation
45,-1.0,1.0,1.0,-1.0,1.0,leaves_room
46,-1.0,1.0,1.0,1.0,-1.0,leaves_room
47,-1.0,1.0,1.0,1.0,1.0,gives_an_insult
48,1.0,-1.0,-1.0,-1.0,-1.0,gives_controversial_opinion
49,1.0,-1.0,-1.0,-1.0,1.0,shares
50,1.0,-1.0,-1.0,1.0,-1.0,laughs
51,1.0,-1.0,-1.0,1.0,1.0,leaves_room
52,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
53,1.0,-1.0,1.0,-1.0,1.0,leaves_room
54,1.0,-1.0,1.0,1.0,-1.0,shares
55,1.0,-1.0,1.0,1.0,1.0,makes_smalltalk
56,1.0,1.0,-1.0,-1.0,-1.0,shows_interest
57,1.0,1.0,-1.0,-1.0,1.0,makes_deeptalk
58,1.0,1.0,-1.0,1.0,-1.0,rants
59,1.0,1.0,-1.0,1.0,1.0,yawns
60,1.0,1.0,1.0,-1.0,-1.0,starts_conversation
61,1.0,1.0,1.0,-1.0,1.0,shares
62,1.0,1.0,1.0,1.0,-1.0,shouts
63,1.0,1.0,1.0,1.0,1.0,starts_conversation
64,-1.0,-1.0,-1.0,-1.0,-1.0,shares
65,-1.0,-1.0,-1.0,-1.0,1.0,yawns
66,-1.0,-1.0,-1.0,1.0,-1.0,leaves_room
67,-1.0,-1.0,-1.0,1.0,1.0,gives_an_insult
68,-1.0,-1.0,1.0,-1.0,-1.0,changes_the_topic
69,-1.0,-1.0,1.0,-1.0,1.0,rants
70,-1.0,-1.0,1.0,1.0,-1.0,laughs
71,-1.0,-1.0,1.0,1.0,1.0,stands_in_corner
72,-1.0,1.0,-1.0,-1.0,-1.0,gives_an_insult
73,-1.0,1.0,-1.0,-1.0,1.0,yawns
74,-1.0,1.0,-1.0,1.0,-1.0,shouts
75,-1.0,1.0,-1.0,1.0,1.0,gives_controversial_opinion
76,-1.0,1.0,1.0,-1.0,-1.0,laughs
77,-1.0,1.0,1.0,-1.0,1.0,leaves_room
78,-1.0,1.0,1.0,1.0,-1.0,starts_conversation
79,-1.0,1.0,1.0,1.0,1.0,gives_an_insult
80,1.0,-1.0,-1.0,-1.0,-1.0,jokes
81,1.0,-1.0,-1.0,-1.0,1.0,shows_interest
82,1.0,-1.0,-1.0,1.0,-1.0,jokes
83,1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
84,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
85,1.0,-1.0,1.0,-1.0,1.0,leaves_room
86,1.0,-1.0,1.0,1.0,-1.0,shares
87,1.0,-1.0,1.0,1.0,1.0,supports
88,1.0,1.0,-1.0,-1.0,-1.0,leaves_conversation
89,1.0,1.0,-1.0,-1.0,1.0,gives_an_insult
90,1.0,1.0,-1.0,1.0,-1.0,laughs
91,1.0,1.0,-1.0,1.0,1.0,jokes
92,1.0,1.0,1.0,-1.0,-1.0,brags
93,1.0,1.0,1.0,-1.0,1.0,supports
94,1.0,1.0,1.0,1.0,-1.0,rants
95,1.0,1.0,1.0,1.0,1.0,supports
96,-1.0,-1.0,-1.0,-1.0,-1.0,supports
97,-1.0,-1.0,-1.0,-1.0,1.0,jokes
98,-1.0,-1.0,-1.0,1.0,-1.0,starts_conversation
99,-1.0,-1.0,-1.0,1.0,1.0,shouts
100,-1.0,-1.0,1.0,-1.0,-1.0,shows_concern
101,-1.0,-1.0,1.0,-1.0,1.0,changes_the_topic
102,-1.0,-1.0,1.0,1.0,-1.0,shows_interest
103,-1.0,-1.0,1.0,1.0,1.0,leaves_conversation
104,-1.0,1.0,-1.0,-1.0,-1.0,changes_the_topic
105,-1.0,1.0,-1.0,-1.0,1.0,rants
106,-1.0,1.0,-1.0,1.0,-1.0,laughs
107,-1.0,1.0,-1.0,1.0,1.0,makes_smalltalk
108,-1.0,1.0,1.0,-1.0,-1.0,shares
109,-1.0,1.0,1.0,-1.0,1.0,leaves_room
